name,category,area,contact,details,distance
AC Service 1,AC Repair,ShivajiNagar,+91 6364522461,Affordable and reliable AC Repair solutions in ShivajiNagar.,12.61
Electrician Service 2,Electrician,Wakad,+91 8602510382,"Specialist in Electrician, quick service in Wakad.",9.3
Gym Service 3,Gym,Hinjewadi,+91 7849712019,Trusted for Gym needs in Hinjewadi.,12.15
Tutor Service 4,Tutor,Hadapsar,+91 8337222593,Trusted for Tutor needs in Hadapsar.,7.78
AC Service 5,AC Repair,Kothrud,+91 7563430073,Trusted for AC Repair needs in Kothrud.,14.01
Pharmacy Service 6,Pharmacy,VimanNagar,+91 9830206549,24/7 support for Pharmacy in VimanNagar.,2.89
Grocery Service 7,Grocery,Baner,+91 6990430947,Provides excellent Grocery service in Baner.,3.06
Grocery Service 8,Grocery,Hinjewadi,+91 8191149268,24/7 support for Grocery in Hinjewadi.,5.72
Tutor Service 9,Tutor,Aundh,+91 6781011850,Trusted for Tutor needs in Aundh.,12.05
Tutor Service 10,Tutor,Hadapsar,+91 9391940284,24/7 support for Tutor in Hadapsar.,5.63
Salon Service 11,Salon,Hinjewadi,+91 9238422834,Trusted for Salon needs in Hinjewadi.,10.87
Salon Service 12,Salon,Aundh,+91 7073319923,Trusted for Salon needs in Aundh.,4.55
Salon Service 13,Salon,Aundh,+91 8213592654,Affordable and reliable Salon solutions in Aundh.,10.09
Salon Service 14,Salon,KarveNagar,+91 7506566321,24/7 support for Salon in KarveNagar.,11.03
Tutor Service 15,Tutor,KarveNagar,+91 8089967836,"Specialist in Tutor, quick service in KarveNagar.",14.14
Grocery Service 16,Grocery,Koregaon Park,+91 7151641846,Trusted for Grocery needs in Koregaon Park.,4.99
Tutor Service 17,Tutor,Aundh,+91 8223709687,24/7 support for Tutor in Aundh.,9.95
Gym Service 18,Gym,VimanNagar,+91 7339361182,"Specialist in Gym, quick service in VimanNagar.",7.59
Restaurant Service 19,Restaurant,Koregaon Park,+91 9788459864,Provides excellent Restaurant service in Koregaon Park.,11.87
Restaurant Service 20,Restaurant,Kothrud,+91 9898342621,"Specialist in Restaurant, quick service in Kothrud.",14.96
Dentist Service 21,Dentist,Kothrud,+91 8467093459,Provides excellent Dentist service in Kothrud.,4.46
Plumber Service 22,Plumber,ShivajiNagar,+91 9239993566,24/7 support for Plumber in ShivajiNagar.,2.48
Electrician Service 23,Electrician,Baner,+91 9542263605,"Specialist in Electrician, quick service in Baner.",14.18
AC Service 24,AC Repair,VimanNagar,+91 9856742626,Provides excellent AC Repair service in VimanNagar.,1.32
Restaurant Service 25,Restaurant,Hinjewadi,+91 7071601613,Provides excellent Restaurant service in Hinjewadi.,1.7
Dentist Service 26,Dentist,Kothrud,+91 6175554966,Provides excellent Dentist service in Kothrud.,5.91
Grocery Service 27,Grocery,Hinjewadi,+91 9155886297,"Specialist in Grocery, quick service in Hinjewadi.",8.08
AC Service 28,AC Repair,VimanNagar,+91 8531703885,Provides excellent AC Repair service in VimanNagar.,12.02
Plumber Service 29,Plumber,Hinjewadi,+91 6155774154,Provides excellent Plumber service in Hinjewadi.,5.49
Gym Service 30,Gym,ShivajiNagar,+91 7228475045,Affordable and reliable Gym solutions in ShivajiNagar.,7.59
Electrician Service 31,Electrician,KarveNagar,+91 8368688766,24/7 support for Electrician in KarveNagar.,11.23
Electrician Service 32,Electrician,VimanNagar,+91 9704176398,24/7 support for Electrician in VimanNagar.,10.73
Salon Service 33,Salon,Baner,+91 6401380358,Affordable and reliable Salon solutions in Baner.,12.66
AC Service 34,AC Repair,KarveNagar,+91 9386192302,"Specialist in AC Repair, quick service in KarveNagar.",8.02
Pharmacy Service 35,Pharmacy,KarveNagar,+91 8211060752,Affordable and reliable Pharmacy solutions in KarveNagar.,2.59
Restaurant Service 36,Restaurant,Wakad,+91 7124583052,24/7 support for Restaurant in Wakad.,14.57
AC Service 37,AC Repair,Aundh,+91 6603740882,Provides excellent AC Repair service in Aundh.,4.17
Grocery Service 38,Grocery,Hinjewadi,+91 6733197167,Provides excellent Grocery service in Hinjewadi.,7.07
Plumber Service 39,Plumber,Aundh,+91 9935899284,Provides excellent Plumber service in Aundh.,14.92
Plumber Service 40,Plumber,KarveNagar,+91 6315884807,Affordable and reliable Plumber solutions in KarveNagar.,1.67
Plumber Service 41,Plumber,Koregaon Park,+91 9399825568,24/7 support for Plumber in Koregaon Park.,10.79
Electrician Service 42,Electrician,VimanNagar,+91 7197166857,24/7 support for Electrician in VimanNagar.,11.38
Grocery Service 43,Grocery,Kothrud,+91 7652500565,Trusted for Grocery needs in Kothrud.,2.82
Tutor Service 44,Tutor,ShivajiNagar,+91 7034509522,Provides excellent Tutor service in ShivajiNagar.,1.95
Grocery Service 45,Grocery,Baner,+91 6451934972,"Specialist in Grocery, quick service in Baner.",0.85
Salon Service 46,Salon,KarveNagar,+91 7330263358,24/7 support for Salon in KarveNagar.,9.81
Plumber Service 47,Plumber,Baner,+91 9130734989,Trusted for Plumber needs in Baner.,6.67
AC Service 48,AC Repair,Koregaon Park,+91 8539798336,Provides excellent AC Repair service in Koregaon Park.,13.28
Tutor Service 49,Tutor,Koregaon Park,+91 6778355680,Provides excellent Tutor service in Koregaon Park.,10.12
Salon Service 50,Salon,Hadapsar,+91 6083678367,24/7 support for Salon in Hadapsar.,14.43
